20230108	14:00:16	502329ac-11dc-4c7f-a8f2-b9234a22216b	GET	undefined	/subdir}
20230108	14:00:19	bfdf18d0-b592-417d-98f2-b1f31621e25f	GET	undefined	/}
20230108	14:00:19	53b4f154-4dcb-43c5-adec-09204dd5c76d	GET	undefined	/css/style.css}
20230108	14:00:23	54c8980b-6b18-4b2a-ae08-dac1174048a3	GET	undefined	/subdir}
20230108	14:00:26	ba4d529a-3f35-47e3-b415-d5cc8d6bcf70	GET	undefined	/subdir/test}
20230108	14:00:55	018129ca-263c-433b-884e-a010ee1e891e	GET	undefined	/subdir/test}
20230108	14:00:59	ac944882-f261-4e6b-8734-6b74b3eb5011	GET	undefined	/subdir}
20230108	14:01:32	5d1e3fd8-3f60-489e-9a99-ed71eea2fd84	GET	undefined	/subdir/drive}
20230108	14:01:32	b0e2902e-d11a-4263-8bb4-758340db445d	GET	undefined	/subdir/css/style.css}
20230108	14:01:56	6cc1e933-4096-41c1-877a-6dfe904a49e1	GET	undefined	/drive}
20230108	14:01:57	6e84961b-2127-4803-bdf8-da7d03a78003	GET	undefined	/css/style.css}
20230108	14:10:20	5a37f92f-5f1a-43f3-8125-25401e08839e	GET	undefined	/subdir/drive}
20230108	14:10:20	e86a082e-28bf-4c63-b052-1e497b9eb2c7	GET	undefined	/subdir/css/style.css}
20230108	14:10:23	065742f3-c7bf-4972-8e9f-c6208d53e97f	GET	undefined	/subdir}
20230108	14:10:23	84d23ade-79ad-4868-9fc3-e243fd1b12a1	GET	undefined	/subdir/}
20230108	14:10:26	63b31038-0d15-4af7-b428-6b555f99145f	GET	undefined	/subdir/}
20230108	14:10:40	8287193b-270a-4b5e-8d6b-b7e2357f7ed7	GET	undefined	/}
20230108	14:10:40	ee2d99c7-09ea-466c-ac04-b9a8926c73bb	GET	undefined	/css/style.css}
20230108	14:10:44	0fbbad8a-d2ea-4244-92aa-cf4c5bbc858b	GET	undefined	/new-page.html}
20230108	14:10:44	595d56d9-7a78-477c-9679-c50e461172d7	GET	undefined	/css/style.css}
20230108	14:10:44	d5c7d275-3f9a-469b-9f7c-7f8af42bf8b3	GET	undefined	/img/img1.jpg}
20230108	14:10:51	0f2785b6-cd72-4a6e-91c6-a2ce8889158b	GET	undefined	/new-page.html}
20230108	14:10:51	a1fd21f6-f6cb-4fe3-a275-61c468812c95	GET	undefined	/css/style.css}
20230108	14:10:51	fa9a77fc-d94e-41bb-abff-6567bcd1e0ef	GET	undefined	/img/img1.jpg}
20230108	14:11:10	68c18b41-4200-49b7-9688-e7e918a7e5cc	GET	undefined	/index.html}
